clip	reference	terms	categories	spoken_forms	hr_variants	sr_variants	croatian_reference	serbian_reference
00055.wav	Brzezinski je 1960-ih godina radio za Johna F. Kennedyja kao njegov savjetnik, a kasnije je bio i dio administracije Lyndona B. Johnsona.	savjetnik|dio	yat|lex	savjetnik|dio	|	savetnik|deo	Brzezinski je 1960-ih godina radio za Johna F. Kennedyja kao njegov savjetnik, a kasnije je bio i dio administracije Lyndona B. Johnsona.	Brzezinski je 1960-ih godina radio za Johna F. Kennedyja kao njegov savetnik, a kasnije je bio i deo administracije Lyndona B. Johnsona.
00057.wav	U kočiji, vratili su se u Pariz okruženi gomilom ljudi koji su vrištali i uzvikivali prijetnje kralju i kraljici.	prijete	yat	prijetnje		pretnje	U kočiji, vratili su se u Pariz okruženi gomilom ljudi koji su vrištali i uzvikivali prijetnje kralju i kraljici.	U kočiji, vratili su se u Pariz okruženi gomilom ljudi koji su vrištali i uzvikivali pretnje kralju i kraljici.
00060.wav	Zbog podvodne topologije, povratni protok je koncentriran u nekoliko dubljih dijelova i tu može doći do brze struje prema dubokoj vodi.	dijelova	yat	dijelova		delova	Zbog podvodne topologije, povratni protok je koncentriran u nekoliko dubljih dijelova i tu može doći do brze struje prema dubokoj vodi.	Zbog podvodne topologije, povratni protok je koncentriran u nekoliko dubljih delova i tu može doći do brze struje prema dubokoj vodi.
00061.wav	Ipak, poslušajte savjete koje vam vlasti daju, poštujte sve znakove i obratite posebnu pažnju na sigurnosna upozorenja.	sigurnosna	lex	sigurnosna		bezbednosna	Ipak, poslušajte savjete koje vam vlasti daju, poštujte sve znakove i obratite posebnu pažnju na sigurnosna upozorenja.	Ipak, poslušajte savjete koje vam vlasti daju, poštujte sve znakove i obratite posebnu pažnju na bezbednosna upozorenja.
00063.wav	Pećina, koja se nalazi na vrhu jedne od planina sjeverno od Meke, potpuno je izolovana od ostatka svijeta.	sjeveru	yat	sjeverno		severno	Pećina, koja se nalazi na vrhu jedne od planina sjeverno od Meke, potpuno je izolovana od ostatka svijeta.	Pećina, koja se nalazi na vrhu jedne od planina severno od Meke, potpuno je izolovana od ostatka svijeta.
00067.wav	Danielle Lantagne, UN-ov ekspert za ovu bolest, rekla je da su izbijanje bolesti vjerovatno uzrokovali pripadnici mirovnih snaga.	vjerovatno	yat	vjerovatno	vjerojatno	verovatno	Danielle Lantagne, UN-ov ekspert za ovu bolest, rekla je da su izbijanje bolesti vjerojatno uzrokovali pripadnici mirovnih snaga.	Danielle Lantagne, UN-ov ekspert za ovu bolest, rekla je da su izbijanje bolesti verovatno uzrokovali pripadnici mirovnih snaga.
00068.wav	Iako je Goma razumno sigurna, sve posjete van Gome bi se trebale istražiti kako bi se razumjelo stanje borbi koje traju u provinciji Sjeverni Kivu.	posjeta|sjeveru	yat|yat	posjete|sjeverni	|	posete|severni	Iako je Goma razumno sigurna, sve posjete van Gome bi se trebale istražiti kako bi se razumjelo stanje borbi koje traju u provinciji Sjeverni Kivu.	Iako je Goma razumno sigurna, sve posete van Gome bi se trebale istražiti kako bi se razumjelo stanje borbi koje traju u provinciji severni Kivu.
00075.wav	Sundarbans je proglašen UNESCO-vom svjetskom baštinom. Dio šume u okviru indijske teritorije naziva se Nacionalni park Sundarbans.	unesco|svjetlo|dio	lex|yat|lex	unesco|svjetskom|dio	||	unesko|svetskom|deo	Sundarbans je proglašen UNESCO-vom svjetskom baštinom. Dio šume u okviru indijske teritorije naziva se Nacionalni park Sundarbans.	Sundarbans je proglašen unesko-vom svetskom baštinom. deo šume u okviru indijske teritorije naziva se Nacionalni park Sundarbans.
00077.wav	Također, nakon što su zanimanja revolucije otvorena za sve muške podnositelje zahtjeva što je omogućilo najambicioznijim i uspješnima da uspiju.	zahtjev	yat	zahtjeva		zahteva	Također, nakon što su zanimanja revolucije otvorena za sve muške podnositelje zahtjeva što je omogućilo najambicioznijim i uspješnima da uspiju.	Također, nakon što su zanimanja revolucije otvorena za sve muške podnositelje zahteva što je omogućilo najambicioznijim i uspješnima da uspiju.
00078.wav	S druge strane, led i snijeg su normalne pojave u mnogim zemljama te se saobraćaj uglavnom bez smetnji nastavlja odvijati tokom cijele godine.	tokom|cijele	lex|yat	tokom|cijele	tijekom|	|cele	S druge strane, led i snijeg su normalne pojave u mnogim zemljama te se saobraćaj uglavnom bez smetnji nastavlja odvijati tijekom cijele godine.	S druge strane, led i snijeg su normalne pojave u mnogim zemljama te se saobraćaj uglavnom bez smetnji nastavlja odvijati tokom cele godine.
00084.wav	Od osnivanja Asuncióna 1537. godine, Paragvaj je uspio zadržati veliki dio prvobitnog karaktera i identiteta.	dio	lex	dio		deo	Od osnivanja Asuncióna 1537. godine, Paragvaj je uspio zadržati veliki dio prvobitnog karaktera i identiteta.	Od osnivanja Asuncióna 1537. godine, Paragvaj je uspio zadržati veliki deo prvobitnog karaktera i identiteta.
00085.wav	Termin safari u popularnoj upotrebi odnosi se na putovanje kopnom kako bi se vidjela zapanjujuća afrička divljina, naročito u savani.	upotreba	lex	upotrebi	uporabi		Termin safari u popularnoj uporabi odnosi se na putovanje kopnom kako bi se vidjela zapanjujuća afrička divljina, naročito u savani.	Termin safari u popularnoj upotrebi odnosi se na putovanje kopnom kako bi se vidjela zapanjujuća afrička divljina, naročito u savani.
00086.wav	Na drugom kraju spektra, jedan se pretvara u neprepoznatljivog pojedinca koji osjeća da on ili ona moraju promijeniti sve što je tim radio i učiniti to svojim.	osjeća|promijenio	yat|yat	osjeća|promijeniti	|	oseća|promeniti	Na drugom kraju spektra, jedan se pretvara u neprepoznatljivog pojedinca koji osjeća da on ili ona moraju promijeniti sve što je tim radio i učiniti to svojim.	Na drugom kraju spektra, jedan se pretvara u neprepoznatljivog pojedinca koji oseća da on ili ona moraju promeniti sve što je tim radio i učiniti to svojim.
00087.wav	Kao rezultat, izvođači puše džointe kanabisa na bini, a sâmo pozorište podstiče publiku da im se pridruži.	pozorišne	lex	pozorište	kazalište		Kao rezultat, izvođači puše džointe kanabisa na bini, a sâmo kazalište podstiče publiku da im se pridruži.	Kao rezultat, izvođači puše džointe kanabisa na bini, a sâmo pozorište podstiče publiku da im se pridruži.
00088.wav	Nivo pH je prikazan količinom vodonikovih (H u pH) jona u testiranoj hemikaliji.	nivo	lex	nivo	razinu		razinu pH je prikazan količinom vodonikovih (H u pH) jona u testiranoj hemikaliji.	Nivo pH je prikazan količinom vodonikovih (H u pH) jona u testiranoj hemikaliji.
00091.wav	Odbačena djeca su možda prošla kroz nasilje ili traumu prije nego što su napuštena ili su pobjegla.	djeca|prije	yat|yat	djeca|prije	|	deca|pre	Odbačena djeca su možda prošla kroz nasilje ili traumu prije nego što su napuštena ili su pobjegla.	Odbačena deca su možda prošla kroz nasilje ili traumu pre nego što su napuštena ili su pobjegla.
00093.wav	Na primjer, najčešći format statične slike na svijetu je 35 mm, koji je dominirao na kraju perioda analognog filma.	svijet	yat	svijetu		svetu	Na primjer, najčešći format statične slike na svijetu je 35 mm, koji je dominirao na kraju perioda analognog filma.	Na primjer, najčešći format statične slike na svetu je 35 mm, koji je dominirao na kraju perioda analognog filma.
00094.wav	Sok kupusa mijenja boju u zavisnosti od toga koliko je hemikalija kisela ili bazična (alkalna).	mijenja	yat	mijenja		menja	Sok kupusa mijenja boju u zavisnosti od toga koliko je hemikalija kisela ili bazična (alkalna).	Sok kupusa menja boju u zavisnosti od toga koliko je hemikalija kisela ili bazična (alkalna).
00096.wav	Kako se znanje Grka smanjivalo, Zapad je postao odsječen od svojih grčkih filozofskih i naučnih korijena.	korijena	yat	korijena		korene	Kako se znanje Grka smanjivalo, Zapad je postao odsječen od svojih grčkih filozofskih i naučnih korijena.	Kako se znanje Grka smanjivalo, Zapad je postao odsječen od svojih grčkih filozofskih i naučnih korene.
00103.wav	Međutim, postotak ekstenzivno rezistentne tuberkuloze u cijeloj grupi ljudi s tuberkulozom još uvijek je nizak – 6.000 od ukupno 330.000 zaraženih osoba u svakom trenutku u Južnoj Africi.	uvijek	yat	uvijek		uvek	Međutim, postotak ekstenzivno rezistentne tuberkuloze u cijeloj grupi ljudi s tuberkulozom još uvijek je nizak – 6.000 od ukupno 330.000 zaraženih osoba u svakom trenutku u Južnoj Africi.	Međutim, postotak ekstenzivno rezistentne tuberkuloze u cijeloj grupi ljudi s tuberkulozom još uvek je nizak – 6.000 od ukupno 330.000 zaraženih osoba u svakom trenutku u Južnoj Africi.
00105.wav	Upotreba videozapisa je dovela do važnih otkrića u tumačenju mikro-ekspresija, pokreta lica koji traju nekoliko milisekundi.	upotreba	lex	upotreba	uporaba		uporaba videozapisa je dovela do važnih otkrića u tumačenju mikro-ekspresija, pokreta lica koji traju nekoliko milisekundi.	Upotreba videozapisa je dovela do važnih otkrića u tumačenju mikro-ekspresija, pokreta lica koji traju nekoliko milisekundi.
00108.wav	Premda se čini da je jedna eksperimentalna vakcina u stanju smanjiti smrtnost od ebole, do sada nije jasno dokazano da je ijedan lijek pogodan za liječenje ove infekcije.	liječenja	yat	liječenje		lečenje	Premda se čini da je jedna eksperimentalna vakcina u stanju smanjiti smrtnost od ebole, do sada nije jasno dokazano da je ijedan lijek pogodan za liječenje ove infekcije.	Premda se čini da je jedna eksperimentalna vakcina u stanju smanjiti smrtnost od ebole, do sada nije jasno dokazano da je ijedan lijek pogodan za lečenje ove infekcije.
00109.wav	Sjeverno i u blizini grada je romantični i fascinantni grad Sintra, koji je strancima postao poznat nakon što je Lord Byron zabilježio blistav prikaz njegovog sjaja.	sjeveru|zabilježio	yat|lex	sjeverno|zabilježio	|	severno|zabeležio	Sjeverno i u blizini grada je romantični i fascinantni grad Sintra, koji je strancima postao poznat nakon što je Lord Byron zabilježio blistav prikaz njegovog sjaja.	severno i u blizini grada je romantični i fascinantni grad Sintra, koji je strancima postao poznat nakon što je Lord Byron zabeležio blistav prikaz njegovog sjaja.
00111.wav	Automobilska bomba koja je detonirana jučer u sjedištu policije u Gaziantepu u Turskoj ubila je dvojicu policajaca i ranila preko dvadeset drugih ljudi.	sjedište	yat	sjedištu		sedištu	Automobilska bomba koja je detonirana jučer u sjedištu policije u Gaziantepu u Turskoj ubila je dvojicu policajaca i ranila preko dvadeset drugih ljudi.	Automobilska bomba koja je detonirana jučer u sedištu policije u Gaziantepu u Turskoj ubila je dvojicu policajaca i ranila preko dvadeset drugih ljudi.
00115.wav	Dvije opće ideje zajedničke su za većinu tumačenja tehnološkog determinizma: da sam razvoj tehnologije slijedi put koji je uveliko izvan utjecaja kulturne ili politike, a da tehnologija zauzvrat ima „utjecaje“ na društva koji su svojstveni, a ne društveno uvjetovani.	dvije	yat	dvije		dve	Dvije opće ideje zajedničke su za većinu tumačenja tehnološkog determinizma: da sam razvoj tehnologije slijedi put koji je uveliko izvan utjecaja kulturne ili politike, a da tehnologija zauzvrat ima „utjecaje“ na društva koji su svojstveni, a ne društveno uvjetovani.	dve opće ideje zajedničke su za većinu tumačenja tehnološkog determinizma: da sam razvoj tehnologije slijedi put koji je uveliko izvan utjecaja kulturne ili politike, a da tehnologija zauzvrat ima „utjecaje“ na društva koji su svojstveni, a ne društveno uvjetovani.
00116.wav	U toku borbe za nezavisnost koju je organizirao pokret Mau, mirni skup u gradu završio se ubistvom vrhovnog poglavara Tupua Tamasesea Lealofija III.	toku	lex	toku	tijeku		U tijeku borbe za nezavisnost koju je organizirao pokret Mau, mirni skup u gradu završio se ubistvom vrhovnog poglavara Tupua Tamasesea Lealofija III.	U toku borbe za nezavisnost koju je organizirao pokret Mau, mirni skup u gradu završio se ubistvom vrhovnog poglavara Tupua Tamasesea Lealofija III.
00117.wav	Pisanje blogova je alat koji inspirira saradnju i potiče učenike da prošire proces učenja i nakon tradicionalnog školskog dana.	saradnja	lex	saradnju	suradnju		Pisanje blogova je alat koji inspirira suradnju i potiče učenike da prošire proces učenja i nakon tradicionalnog školskog dana.	Pisanje blogova je alat koji inspirira saradnju i potiče učenike da prošire proces učenja i nakon tradicionalnog školskog dana.
00123.wav	Arhipelag je smješten 120 km sjeverno od poluotoka. Najveći otok je Otok kralja Georgea s naseljem koje se naziva Villa Las Estrellas.	sjeveru	yat	sjeverno		severno	Arhipelag je smješten 120 km sjeverno od poluotoka. Najveći otok je Otok kralja Georgea s naseljem koje se naziva Villa Las Estrellas.	Arhipelag je smješten 120 km severno od poluotoka. Najveći otok je Otok kralja Georgea s naseljem koje se naziva Villa Las Estrellas.
00124.wav	To su ponekad prepune porodične plaže s dobrim asortimanom prodavnica koje se pružaju obalom. Plivanje je sigurno.	prodavnica	lex	prodavnica	prodavaonica		To su ponekad prepune porodične plaže s dobrim asortimanom prodavaonica koje se pružaju obalom. Plivanje je sigurno.	To su ponekad prepune porodične plaže s dobrim asortimanom prodavnica koje se pružaju obalom. Plivanje je sigurno.
00125.wav	Angel (2006) objašnjava pristup kontinuumu kao metodu koja se koristi kako bi se organizacijama pomoglo da dosegnu viši nivo rada.	nivo	lex	nivo	razinu		Angel (2006) objašnjava pristup kontinuumu kao metodu koja se koristi kako bi se organizacijama pomoglo da dosegnu viši razinu rada.	Angel (2006) objašnjava pristup kontinuumu kao metodu koja se koristi kako bi se organizacijama pomoglo da dosegnu viši nivo rada.
00127.wav	Budući da perje dinosaura nema dobro razvijen stručak, zvanu rahis, ali ima druge karakteristike perja - bodlje i sićušne bodlje - istraživači su zaključili da je rahis vjerojatno dio kasnijeg evolucijski razvoj u odnosu na ostale karakteristike.	dio	lex	dio		deo	Budući da perje dinosaura nema dobro razvijen stručak, zvanu rahis, ali ima druge karakteristike perja - bodlje i sićušne bodlje - istraživači su zaključili da je rahis vjerojatno dio kasnijeg evolucijski razvoj u odnosu na ostale karakteristike.	Budući da perje dinosaura nema dobro razvijen stručak, zvanu rahis, ali ima druge karakteristike perja - bodlje i sićušne bodlje - istraživači su zaključili da je rahis vjerojatno deo kasnijeg evolucijski razvoj u odnosu na ostale karakteristike.
00133.wav	Lavovi su najdruželjubljivije mačke i žive u velikim grupama koje se nazivaju čopori.	grupama	lex	grupama	skupinama		Lavovi su najdruželjubljivije mačke i žive u velikim skupinama koje se nazivaju čopori.	Lavovi su najdruželjubljivije mačke i žive u velikim grupama koje se nazivaju čopori.
00134.wav	Jučer u novom Privremenom izbornom vijeću (CEP) devet članova položilo je zakletvu pred Martellyjem.	vijeća|zakletvu	lex|lex	vijeću|zakletvu	|prisegu	savetu|	Jučer u novom Privremenom izbornom vijeću (CEP) devet članova položilo je prisegu pred Martellyjem.	Jučer u novom Privremenom izbornom savetu (CEP) devet članova položilo je zakletvu pred Martellyjem.
00137.wav	ASUS Eee računar, koji je ranije predstavljen širom svijeta zbog faktora uštede troškova i funkcionalnosti, postao je glavna tema 2007. godine u mjesecu IT-a u Taipeiju.	širom|faktor	lex|lex	širom|faktora	diljem|čimbenik	|	ASUS Eee računar, koji je ranije predstavljen diljem svijeta zbog čimbenik uštede troškova i funkcionalnosti, postao je glavna tema 2007. godine u mjesecu IT-a u Taipeiju.	ASUS Eee računar, koji je ranije predstavljen širom svijeta zbog faktora uštede troškova i funkcionalnosti, postao je glavna tema 2007. godine u mjesecu IT-a u Taipeiju.
00138.wav	Blogovi mogu također pomoći kod poboljšanja vještine pisanja učenika. Iako učenici često započinju svoje iskustvo na blogu nemarnom gramatikom i pravopisom, prisutnost publike to obično mijenja.	vještine|mijenja	yat|yat	vještine|mijenja	|	veštine|menja	Blogovi mogu također pomoći kod poboljšanja vještine pisanja učenika. Iako učenici često započinju svoje iskustvo na blogu nemarnom gramatikom i pravopisom, prisutnost publike to obično mijenja.	Blogovi mogu također pomoći kod poboljšanja veštine pisanja učenika. Iako učenici često započinju svoje iskustvo na blogu nemarnom gramatikom i pravopisom, prisutnost publike to obično menja.
00139.wav	Imaju stopala sa lustrom i kandžama, polažu jaja i hodaju na zadnje dvije noge kao T-reks.	zadnje|dvije	lex|yat	zadnje|dvije	|	poslednje|dve	Imaju stopala sa lustrom i kandžama, polažu jaja i hodaju na zadnje dvije noge kao T-reks.	Imaju stopala sa lustrom i kandžama, polažu jaja i hodaju na poslednje dve noge kao T-reks.
00144.wav	Izleti su značajan dio svakog razreda. Često bi učiteljica voljela odvesti svoje učenike na mjesta do kojih putovanje autobusom nije opcija.	dio|mjesta	lex|yat	dio|mjesta	|	deo|mesta	Izleti su značajan dio svakog razreda. Često bi učiteljica voljela odvesti svoje učenike na mjesta do kojih putovanje autobusom nije opcija.	Izleti su značajan deo svakog razreda. Često bi učiteljica voljela odvesti svoje učenike na mesta do kojih putovanje autobusom nije opcija.
00146.wav	Doba u kojem su se ti događaji dešavali obično se nazivaju srednjovjekovnim periodom evropske historije u 11.,12., i 13. vijeku (AD 1000–1300).	periodom|evropom	lex|lex	periodom|evropske	razdobljem|europske	|	Doba u kojem su se ti događaji dešavali obično se nazivaju srednjovjekovnim razdobljem europske historije u 11.,12., i 13. vijeku (AD 1000–1300).	Doba u kojem su se ti događaji dešavali obično se nazivaju srednjovjekovnim periodom evropske historije u 11.,12., i 13. vijeku (AD 1000–1300).
00147.wav	Visina slobodnog prolaza ispod mosta iznosi 15 metara. Izgradnja je završena u avgustu 2011. godine, ali most nije bio otvoren za saobraćaj do marta 2017. godine.	marta	lex	marta	ožujka		Visina slobodnog prolaza ispod mosta iznosi 15 metara. Izgradnja je završena u avgustu 2011. godine, ali most nije bio otvoren za saobraćaj do ožujka 2017. godine.	Visina slobodnog prolaza ispod mosta iznosi 15 metara. Izgradnja je završena u avgustu 2011. godine, ali most nije bio otvoren za saobraćaj do marta 2017. godine.
00150.wav	Ranije je pušteno šest talaca, uključujući djecu, starije i fotografe s Filipina.	djecu	yat	djecu		decu	Ranije je pušteno šest talaca, uključujući djecu, starije i fotografe s Filipina.	Ranije je pušteno šest talaca, uključujući decu, starije i fotografe s Filipina.
00152.wav	Samo vozilo istog je dana odvedeno s mjesta nesreće u oko 12:00 po Greenwich vremenu.	mjesta	yat	mjesta		mesta	Samo vozilo istog je dana odvedeno s mjesta nesreće u oko 12:00 po Greenwich vremenu.	Samo vozilo istog je dana odvedeno s mesta nesreće u oko 12:00 po Greenwich vremenu.
00154.wav	Sve imenice, zajedno sa riječi Sie za „ti“, uvijek se pišu velikim početnim slovom, čak i u sredini rečenice.	uvijek	yat	uvijek		uvek	Sve imenice, zajedno sa riječi Sie za „ti“, uvijek se pišu velikim početnim slovom, čak i u sredini rečenice.	Sve imenice, zajedno sa riječi Sie za „ti“, uvek se pišu velikim početnim slovom, čak i u sredini rečenice.
00157.wav	Ostale nominacije uključuju nominaciju za najbolji film, režisera, fotografiju, kostimografiju, montažu, originalnu muziku, scenografiju, uređivanje zvuka, miksanje zvuka i originalni scenarij.	muziku	lex	muziku	glazbu		Ostale nominacije uključuju nominaciju za najbolji film, režisera, fotografiju, kostimografiju, montažu, originalnu glazbu, scenografiju, uređivanje zvuka, miksanje zvuka i originalni scenarij.	Ostale nominacije uključuju nominaciju za najbolji film, režisera, fotografiju, kostimografiju, montažu, originalnu muziku, scenografiju, uređivanje zvuka, miksanje zvuka i originalni scenarij.
00158.wav	Civilizacija je jedna kultura koju dijeli velika grupa ljudi koji žive i rade zajedno, društvo.	dijeli	yat	dijeli		deli	Civilizacija je jedna kultura koju dijeli velika grupa ljudi koji žive i rade zajedno, društvo.	Civilizacija je jedna kultura koju deli velika grupa ljudi koji žive i rade zajedno, društvo.
