key	verdict	reason	licence	regions	diacritics	file	text
File:Podbrdo Road Signs 2.jpg	skip	too small: 578x393					
File:Slippery Road.jpg	skip	too small: 220x197					
File:Karadjordjeva ulica 2.jpg	skip	too small: 400x300					
File:BA road sign III-107.svg	skip	not a photo format: image/svg+xml					
File:Princip plaque 1931 Sarajevo.jpg	skip	too small: 354x458					
File:Franz Ferdinand original plaque 1916.jpg	skip	too small: 664x409					
File:Sarajevo memorial old photo 1930s.jpg	skip	too small: 514x551					
File:BA road sign III-83.svg	skip	not a photo format: image/svg+xml					
File:Road narrows from one side.jpg	skip	too small: 194x183					
File:BA road sign IV-9.svg	skip	not a photo format: image/svg+xml					
File:Rail-Road (controlled).jpg	skip	too small: 212x199					
File:BA road sign III-85.1.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-82.svg	skip	not a photo format: image/svg+xml					
File:Široki Brijeg, glavni trg.jpg	skip	too small: 640x480					
File:Trg širokobrijeških žrtava 053412.webm	skip	not a photo format: video/webm					
File:Tuzla-Kapija ulica2.jpg	skip	too small: 408x544					
File:BA road sign III-86.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-133.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-7.svg	skip	not a photo format: image/svg+xml					
File:Bascarsija Market Sarajevo.jpg	skip	too small: 723x481					
File:Pedestrians crossing.jpg	skip	too small: 191x189					
File:BA road sign III-97.svg	skip	not a photo format: image/svg+xml					
File:Direction sign BiH Autoput alt01.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-93.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-127.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-109.2.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-1.svg	skip	not a photo format: image/svg+xml					
File:Sarajevo memorial plaque in 1916.jpg	skip	too small: 397x623					
File:BA road sign IV-8.svg	skip	not a photo format: image/svg+xml					
File:Road closed to all.jpg	skip	too small: 191x175					
File:BA road sign III-98.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-2.svg	skip	not a photo format: image/svg+xml					
File:City limit sign BiH - begin.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-4.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-10.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-116.svg	skip	not a photo format: image/svg+xml					
File:1930s Sarajevo assasination memorial plaque.jpg	skip	too small: 680x347					
File:BA road sign III-104.svg	skip	not a photo format: image/svg+xml					
File:BA road sign I-6.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-132.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-111.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-92.2.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-108.svg	skip	not a photo format: image/svg+xml					
File:Living Street.jpg	skip	too small: 271x167					
File:Waiting Area for Bus.jpg	skip	too small: 144x196					
File:BA road sign III-80.svg	skip	not a photo format: image/svg+xml					
File:End of priority road.jpg	skip	too small: 195x175					
File:Sat-spomenik-Vitez.jpg	skip	too small: 453x604					
File:Priority Road.jpg	skip	too small: 204x176					
File:BA road sign III-87.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-94.svg	skip	not a photo format: image/svg+xml					
File:Direction sign BiH alt01.svg	skip	not a photo format: image/svg+xml					
File:Crossroad with same priority.jpg	skip	too small: 216x180					
File:BA road sign III-131.svg	skip	not a photo format: image/svg+xml					
File:Rail-Road.jpg	skip	too small: 208x182					
File:Registarske oznake Republike Srpske.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-102.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-96.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-135.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-84.1.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-101.1.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-5.svg	skip	not a photo format: image/svg+xml					
File:BA road sign I-5.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-136.svg	skip	not a photo format: image/svg+xml					
File:Stara carsija.jpg	skip	too small: 500x353					
File:BA road sign IV-11.svg	skip	not a photo format: image/svg+xml					
File:Bumpy road.jpg	skip	too small: 208x186					
File:BA road sign III-95.svg	skip	not a photo format: image/svg+xml					
File:Tuzla Wikivoyage banner.jpg	skip	too small: 1426x204					
File:BA road sign III-110.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-134.svg	skip	not a photo format: image/svg+xml					
File:Tuzla-Kapija ulica.jpg	skip	too small: 544x408					
File:BA road sign III-81.svg	skip	not a photo format: image/svg+xml					
File:Bihac Partisan Monument 1982.jpeg	skip	too small: 571x394					
File:Speed limit in Bosnia.svg	skip	not a photo format: image/svg+xml					
File:FIS Vitez.JPG	refused	licence not on the list: 'GFDL'					
File:Maximum weight.jpg	skip	too small: 190x177					
File:Aleja.jpg	skip	too small: 589x401					
File:Turn right only.jpg	skip	too small: 210x196					
File:Maximum weight per axle.jpg	skip	too small: 184x186					
File:Gozulj old.jpg	skip	too small: 600x387					
File:Christ of Andrey.jpg	skip	too small: 232x146					
File:Minimum speed.jpg	skip	too small: 232x185					
File:Travnik, hodinova vez pod hradem a stare turecke domy.jpg	skip	too small: 640x480					
File:Distinctive emblem used by KONS for National Monument of BiH.svg	skip	not a photo format: image/svg+xml					
File:No tractors.jpg	skip	too small: 194x173					
File:Bicycle only.jpg	skip	too small: 213x182					
File:Wild Animals.jpg	skip	too small: 231x201					
File:No horns.jpg	skip	too small: 195x181					
File:Stop ahead.jpg	skip	too small: 214x232					
File:Caffe bosna janja.jpg	skip	too small: 640x480					
File:Banski dvor.jpg	skip	too small: 600x450					
File:Tuzla - panoramio - Stari Djed Aljo.jpg	skip	too small: 704x528					
File:Pedestrians only.jpg	skip	too small: 217x181					
File:Улица Марије Бурсаћ.jpg	skip	too small: 700x525					
File:Pedestrians.jpg	skip	too small: 223x204					
File:Settlement.jpg	skip	too small: 275x123					
File:One way.jpg	skip	too small: 190x193					
File:Give way to oncoming traffic.jpg	skip	too small: 228x181					
File:Do not turn right.jpg	skip	too small: 211x192					
File:Turn right ahead.jpg	skip	too small: 241x227					
File:Натпис на споменику палим борцима-гробље Св. Пантелија.jpg	skip	too small: 800x462					
File:Bingo Bugojno.JPG	refused	licence not on the list: 'GFDL'					
File:Dom zdravlja.jpg	skip	too small: 172x190					
File:ULAZ U NP UNA.jpg	skip	too small: 632x423					
File:Hitna pomoc.jpg	skip	too small: 133x190					
File:Opening bridge.jpg	skip	too small: 204x189					
File:No motor vehicles except motorcycles.jpg	skip	too small: 211x189					
File:Maximum height.jpg	skip	too small: 174x162					
File:Kraljeva Sutjeska.jpg	refused	licence not on the list: 'FAL'					
File:Accident ahead.jpg	skip	too small: 231x175					
File:Dobrodosli!.jpg	skip	too small: 443x250					
File:No overtaking at all.jpg	skip	too small: 170x171					
File:No vehicles caring dangerous goods.jpg	skip	too small: 207x172					
File:Ilidza, Sarajevo (6885052273).jpg	skip	too small: 738x423					
File:Mostar centro palazzo.jpg	skip	too small: 680x510					
File:Carinska ispostava.jpg	skip	too small: 199x196					
File:Travnik, krestanska ctvrt v prudkem svahu.jpg	skip	too small: 640x480					
File:Pass on right.jpg	skip	too small: 204x200					
File:Gospodska.jpg	skip	too small: 600x450					
File:Queues.jpg	skip	too small: 208x178					
File:No parking.jpg	skip	too small: 200x192					
File:No overtaking for trucks.jpg	skip	too small: 188x164					
File:Priority over oncoming traffic.jpg	skip	too small: 205x186					
File:Other Danger.jpg	skip	too small: 224x189					
File:One way1.jpg	skip	too small: 299x94					
File:Double curve.jpg	skip	too small: 216x179					
File:Kraj naselja.jpg	skip	too small: 217x121					
File:Steep descent.jpg	skip	too small: 206x177					
File:Equestrians only.jpg	skip	too small: 238x181					
File:No semi-circle turn.jpg	skip	too small: 209x183					
File:Skretanje za Posušje i Grude, Privalj.2011.pg.jpg	skip	too small: 440x330					
File:Expressway.jpg	skip	too small: 129x193					
File:Tunnel ahead.jpg	skip	too small: 245x187					
File:Flickr - boellstiftung - Wahl 2010.jpg	skip	too small: 666x500					
File:Minimum safe distance.jpg	skip	too small: 190x180					
File:Skretanje na Privalju.2.jpg	skip	too small: 440x330					
File:No parking and stopping.jpg	skip	too small: 185x180					
File:Uprava.jpg	skip	too small: 600x450					
File:No vehicles caring explosives.jpg	skip	too small: 236x186					
File:No motor vehicles.jpg	skip	too small: 210x175					
File:Maximum speed.jpg	skip	too small: 233x187					
File:Nakšibendijskatekija 02.jpg	skip	too small: 461x615					
File:Proceed straight or turn right.jpg	skip	too small: 196x186					
File:Maximum width.jpg	skip	too small: 186x173					
File:Speed limit in Bosnia.png	skip	too small: 186x308					
File:No trucks.jpg	skip	too small: 201x176					
File:Proceed straight.jpg	skip	too small: 206x179					
File:Speed Zone.jpg	skip	too small: 205x187					
File:Pass on either side.jpg	skip	too small: 194x193					
File:Hauptstrasse von Kozarac.jpg	skip	too small: 604x452					
File:Toll.jpg	skip	too small: 252x202					
File:Градови партнери.jpg	skip	too small: 646x605					
File:Complete Stop.jpg	skip	too small: 202x187					
File:No pedestrians.jpg	skip	too small: 204x195					
File:Wrong way.jpg	skip	too small: 211x167					
File:No vehicles caring dangerous water pollutants.jpg	skip	too small: 204x191					
File:Christ of Andrey (multi).jpg	skip	too small: 231x193					
File:Energopetrol Vitez zapustena.JPG	refused	licence not on the list: 'GFDL'					
File:Turning left is not allowed.jpg	skip	too small: 193x181					
File:Usage of motorcycles is prohibited.jpg	skip	too small: 209x172					
File:Pope John Paul II in Bosnia 1997e.jpg	refused	licence not on the list: 'Attribution'					
File:Falling rocks.jpg	skip	too small: 225x202					
File:Roundabout ahead.jpg	skip	too small: 227x178					
File:Skretanje za Pojske.jpg	skip	too small: 533x400					
File:РаскрсницаБЛ.jpg	skip	too small: 600x450					
File:Robot Sarajevo.JPG	refused	licence not on the list: 'GFDL'					
File:Tarevci centar 1.jpg	skip	too small: 448x336					
File:Parking place.jpg	skip	too small: 205x191					
File:Skretanje-Ovnak-Šušanj.jpg	skip	too small: 604x453					
File:No Exit.jpg	skip	too small: 205x194					
File:Bosnia-band.svg	skip	not a photo format: image/svg+xml					
File:Royal Gloucestershire Berkshire and Wiltshire Regiment.jpg	skip	too small: 400x334					
File:Sarajevo l Monument to Gavrilo Princip l 1986.JPG	skip	too small: 560x392					
File:Royal Gloucestershire Berkshire and Wiltshire Regiment..jpg	skip	too small: 420x302					
File:Orovac-grahovčići.jpg	skip	too small: 604x453					
File:Traffic lights ahead.jpg	skip	too small: 213x184					
File:No bicycles.jpg	skip	too small: 200x173					
File:Give way.jpg	skip	too small: 222x187					
File:Domestic Animals.jpg	skip	too small: 222x195					
File:Maximum lenght.jpg	skip	too small: 178x168					
File:Low flying aircraft.jpg	skip	too small: 196x182					
File:Energopetrol Kakanj.JPG	refused	licence not on the list: 'GFDL'					
File:Bruner-Dvorak, Rudolf - Bosna, pekařství (ca 1906).jpg	skip	too small: 550x498					
File:Maximum weight per tandem axle.jpg	skip	too small: 206x175					
File:Cyclists ahead.jpg	skip	too small: 222x204					
File:Policija.jpg	skip	too small: 216x204					
File:Crosswinds.jpg	skip	too small: 213x192					
File:Electrical Substation Gornji Tušanj (Tuzla) - panoramio.jpg	drop	only 0 confident region(s)	CC BY	0	0	Electrical_Substation_Gornji_Tušanj_Tuzla_-_panoramio.jpg	
File:Prijedorska street, Sanski Most.jpg	drop	only 0 confident region(s)	CC0	0	0	Prijedorska_street_Sanski_Most.jpg	
File:Mostar signs.JPG	keep		CC BY-SA	2	0	Mostar_signs.JPG	Dubrovnik | Sarajevo
File:Tuzla - INA petrol station (2019).jpg	keep		CC BY-SA	8	0	Tuzla_-_INA_petrol_station_2019_.jpg	27 | 22 | 0-24 | SHOP | CAFE | WASH | CLASS | TEMPERATURE
File:Sarajevo Trolleybus-4418 Line-108 2011-11-05 (2).jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Sarajevo_Trolleybus-4418_Line-108_2011-11-05_2_.jpg	25
File:Tuzla - 2. Tuzlanske Brigade street (2019).jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Tuzla_-_2._Tuzlanske_Brigade_street_2019_.jpg	M
File:Road Banja Luka - Jajce (postcard).png	drop	only 0 confident region(s)	PD	0	0	Road_Banja_Luka_-_Jajce_postcard_.png	
File:Trg-kralja-tomislav-livno00660.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Trg-kralja-tomislav-livno00660.JPG	
File:Spomen ploca Stojanci majka Knezpoljka.jpg	drop	only 1 confident region(s)	PD	1	0	Spomen_ploca_Stojanci_majka_Knezpoljka.jpg	7
File:Bistrik kula observatory information board.jpg	keep		CC BY-SA	37	6	Bistrik_kula_observatory_information_board.jpg	Bistrik-kulasaastronomskom | opservatorijom | austrougarke | Bosni | During | miliarzfortress | Mountain | nakon | Thcmountzintopprovided | Miliary | tcunfortunate | funkcijisvc | 1967 | koasteni | dobiloUnivcrzitctskoistronomskodruštvo | govcrnment | (koj | Ćolina | 1969 | sodine | Vaisala | trom |
File:Gospodska ulica (1).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica_1_.jpg	
File:Novi trg Bihac.jpg	drop	only 0 confident region(s)	CC BY	0	0	Novi_trg_Bihac.jpg	
File:Sarajevo Trolleybus-4416 Line-102 2011-11-05.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Sarajevo_Trolleybus-4416_Line-102_2011-11-05.jpg	UROHAS
File:Mostar Street.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Mostar_Street.jpg	
File:Main Square in Prijedor.jpg	drop	only 0 confident region(s)	CC0	0	0	Main_Square_in_Prijedor.jpg	
File:Narrow-Gauge-Railway Bosnabahn Station-Zenica 04.jpg	drop	only 0 confident region(s)	PD	0	0	Narrow-Gauge-Railway_Bosnabahn_Station-Zenica_04.jpg	
File:Moritz Schiller Sarajevo street view 1916.jpg	drop	only 1 confident region(s)	PD	1	0	Moritz_Schiller_Sarajevo_street_view_1916.jpg	TEE
File:Shop in old Sarajevo (9461919674).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Shop_in_old_Sarajevo_9461919674_.jpg	
File:Spanish Square.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Spanish_Square.jpg	
File:Mostar souvenir shop.jpg	drop	only 0 confident region(s)	CC BY	0	0	Mostar_souvenir_shop.jpg	
File:Koturova Street in Sarajevo.jpg	drop	only 0 confident region(s)	CC BY	0	0	Koturova_Street_in_Sarajevo.jpg	
File:TrgSlobode IPW.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	TrgSlobode_IPW.jpg	
File:Trg-kralja-tomislav-livno00688.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Trg-kralja-tomislav-livno00688.JPG	
File:Asassination memorial.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Asassination_memorial.jpg	
File:Gospodska ulica 23.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica_23.JPG	
File:Bingo supermarket, Trebinje, 2024.jpg	keep		CC0	3	1	Bingo_supermarket_Trebinje_2024.jpg	Bingos | čBingo | Fingo
File:Putokaz212.jpg	keep		CC BY-SA	4	0	Putokaz212.jpg	Fpanckaynpaba | TprKpajmhe | Focnonckaynnua | Gospodskastreet
File:Tjentište sign.jpg	keep		CC BY-SA	2	1	Tjentište_sign.jpg	Tjehtuute | Tjentište
File:Trg Krajine,čajavčev i ulaz u gospodsku.jpg	keep		CC BY-SA	2	1	Trg_Krajine_čajavčev_i_ulaz_u_gospodsku.jpg	MALBAsIĆ | co
File:Neum road.jpg	keep		CC BY-SA	5	0	Neum_road.jpg	Stolac | Svitava | Dubrovnik | CENTAR | RESTAURANT
File:Gas Station Nešković Нешковић.jpg	drop	only 1 confident region(s)	CC BY	1	2	Gas_Station_Nešković_Нешковић.jpg	NEŠKOVIĆ
File:Tuzla - Pannonian Lakes - Geology Museum (2019).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Tuzla_-_Pannonian_Lakes_-_Geology_Museum_2019_.jpg	
File:Most Mehmed Paše Sokolovića (ploča).jpg	drop	only 0 confident region(s)	PD	0	0	Most_Mehmed_Paše_Sokolovića_ploča_.jpg	
File:Streets in Mostar 006.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Streets_in_Mostar_006.jpg	
File:Sarajevo Bijela Tabija banner.jpg	drop	only 0 confident region(s)	CC BY	0	0	Sarajevo_Bijela_Tabija_banner.jpg	
File:Board of Republika Srpska.JPG	keep		PD	2	0	Board_of_Republika_Srpska.JPG	WELCOME | TOREPUBLICOFSRPSKAE
File:Sarajevo Bascarsija Shop 2011-11-08.jpg	keep		CC BY-SA	4	0	Sarajevo_Bascarsija_Shop_2011-11-08.jpg	M.A.S | SHOP | L.A.S | PHOP
File:Street in Mostar 01.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Street_in_Mostar_01.jpg	KONAK
File:Goražde Wikivoyage pagebanner (cropped).png	drop	only 0 confident region(s)	CC BY-SA	0	0	Goražde_Wikivoyage_pagebanner_cropped_.png	
File:NKD 015 Gospodska ulica.jpg	drop	flat colour (256 shades): a drawing, not a photograph	CC BY-SA	0	0	NKD_015_Gospodska_ulica.jpg	
File:Gospodska ulica (2).jpg	keep		CC BY-SA	3	0	Gospodska_ulica_2_.jpg	CITADELA | CITADELA | ALDO
File:Only foreign butter in Bosnian supermarkets.jpg	keep		CC BY	13	0	Only_foreign_butter_in_Bosnian_supermarkets.jpg	825 | 25 | 595 | 85 | 2 | 3 | VAVLA | 05 | 85 | 25 | 2 | 1155 | 355
File:Inat kuca - natpis.JPG	keep		CC BY	5	0	Inat_kuca_-_natpis.JPG	NACIONALNI | RESTORAN | sam | na | oncistrani,
File:Čaprazlije-Granići-ploča.JPG	keep		CC BY-SA	2	2	Čaprazlije-Granići-ploča.JPG	Čaprazlije | Granići
File:Međugorje Banner.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Međugorje_Banner.jpg	
File:Mostar banner.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Mostar_banner.jpg	
File:Trebinje banner.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Trebinje_banner.jpg	
File:Sarajevo banner.jpg	drop	only 0 confident region(s)	CC BY	0	0	Sarajevo_banner.jpg	
File:Sarajevo Trebevic Ruine mit Graffiti.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Trebevic_Ruine_mit_Graffiti.JPG	
File:Sarajevo Street 1900.jpg	drop	only 0 confident region(s)	PD	0	0	Sarajevo_Street_1900.jpg	
File:Entrance to Zenica.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Entrance_to_Zenica.jpg	
File:Sarajevo Street in Baku.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Street_in_Baku.jpg	
File:Sarajevo Gas-Station EP 2011-11-06.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Gas-Station_EP_2011-11-06.jpg	
File:Sarajevo EP-Gas-Station Bulevar-Mese-Selimovica 2011-11-04 (3).jpg	drop	no region with 3+ letters	CC BY-SA	2	0	Sarajevo_EP-Gas-Station_Bulevar-Mese-Selimovica_2011-11-04_3_.jpg	EP | EP
File:BiH Morica han Persian shop.jpg	drop	only 0 confident region(s)	CC0	0	0	BiH_Morica_han_Persian_shop.jpg	
File:Gospodska ulica banja luka.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica_banja_luka.JPG	
File:Gospodska ulica.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica.jpg	
File:A street in Mostar.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	A_street_in_Mostar.jpg	P
File:Mostar Old Town Street.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Mostar_Old_Town_Street.jpg	Touristinforation
File:Editing Wikipedia Workshop in Visegrad - 76.JPG	keep		CC BY-SA	2	0	Editing_Wikipedia_Workshop_in_Visegrad_-_76.JPG	Beograd | Centar
File:Trg-žrtava01871.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Trg-žrtava01871.JPG	
File:Gospodska ulica 34.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica_34.JPG	
File:Gospodska ulica 04.JPG	drop	flat colour (256 shades): a drawing, not a photograph	CC BY-SA	0	0	Gospodska_ulica_04.JPG	
File:BaščaršijaSarajevo (2).JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	BaščaršijaSarajevo_2_.JPG	
File:Tuzla - Ulica Tabašnice (2019).jpg	keep		CC BY-SA	3	0	Tuzla_-_Ulica_Tabašnice_2019_.jpg	kiseljak | TR | LIRA
File:Sarajevo – Trebević Sign.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Trebević_Sign.jpg	
File:Gospodska ulica 21.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica_21.JPG	
File:Banjaluka streetmap.jpg	keep		CC BY-SA	10	5	Banjaluka_streetmap.jpg	Tunjice | Šargovać | Dervg | Drakulić | Budžak | Petrićevac | Rosulje | Paprikovac | BanjaLukaBurik | Rebrovac
File:Gospodska ulica 17.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica_17.JPG	
File:Gavrilo Princip plaque 1960s.png	drop	flat colour (252 shades): a drawing, not a photograph	PD	0	0	Gavrilo_Princip_plaque_1960s.png	
File:Narrow-Gauge-Railway Spalatobahn Station-Travnik (3).jpg	keep		PD	8	0	Narrow-Gauge-Railway_Spalatobahn_Station-Travnik_3_.jpg	EisenbahnlinieSarajevo-Jajce | Bahnhof | Kolodvor | Pozdraviz | Travnika | Gruss | aus | Travnik
File:Market street in Mostar old town (1) (29853993325).jpg	drop	only 0 confident region(s)	CC BY	0	0	Market_street_in_Mostar_old_town_1_29853993325_.jpg	
File:Livno, Bosna i Hercegovina, obelisk iz 1925., ploča.jpg	drop	only 0 confident region(s)	CC BY	0	0	Livno_Bosna_i_Hercegovina_obelisk_iz_1925._ploča.jpg	
File:Visoko, Jalija street.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Visoko_Jalija_street.jpg	
File:Tourist road sign in Sarajevo.jpg	keep		CC BY-SA	11	5	Tourist_road_sign_in_Sarajevo.jpg	Baščaršija | Oldtown | 2,5km | Skenderija | km | Olympichall | Vilsonovošetalište | WilsonsLane | 200m | Zemaljskimuzej | TheMacionalmuseumofBiH
File:Sarajevo-banner2.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo-banner2.jpg	
File:Road Sign Mostar Entry.jpg	keep		CC BY-SA	2	0	Road_Sign_Mostar_Entry.jpg	Mostar | Moctap
File:Gospodska ulica 24.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Gospodska_ulica_24.JPG	
File:Tuzla - Energopetrol station Muhameda Hevaije Uskufija (2019).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Tuzla_-_Energopetrol_station_Muhameda_Hevaije_Uskufija_2019_.jpg	
File:View over Mostar from Old Bridge Museum - Mostar - Bosnia and Herzegovina.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	View_over_Mostar_from_Old_Bridge_Museum_-_Mostar_-_Bosnia_and_Herzegovina.jpg	
File:Street with bullet holes in Sarajevo 01.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Street_with_bullet_holes_in_Sarajevo_01.jpg	HZ20
File:Spanish square 08035.JPG	drop	only 1 confident region(s)	CC BY-SA	1	0	Spanish_square_08035.JPG	TRG
File:Odstranjevanje tramvajskih tirov z ljubljanskih ulic 1959.jpg	drop	only 0 confident region(s)	PD	0	0	Odstranjevanje_tramvajskih_tirov_z_ljubljanskih_ulic_1959.jpg	
File:Landmine warning banner.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Landmine_warning_banner.jpg	
File:Bosnian Road Sign.png	keep		CC0	10	0	Bosnian_Road_Sign.png	Bih | Bosna | Hercegovina | Bocha | M | 50 | 80 | 100 | 130 | 0-24
File:Direction sign to Old city of Kljuc.jpg	keep		CC BY	2	1	Direction_sign_to_Old_city_of_Kljuc.jpg	Starigradl | Ključ
File:Đurić Supermarket Istočno Sarajevo.jpg	drop	only 0 confident region(s)	CC BY	0	0	Đurić_Supermarket_Istočno_Sarajevo.jpg	
File:Kruševo Brdo - tabla u mosta.jpg	drop	only 0 confident region(s)	CC BY	0	0	Kruševo_Brdo_-_tabla_u_mosta.jpg	
File:Ulica-S.Radića-ŠB03073.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Ulica-S.Radića-ŠB03073.JPG	
File:Trg-kralja-tomislav-livno00664.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Trg-kralja-tomislav-livno00664.JPG	
File:Tihovići plate.jpg	keep		CC BY-SA	2	1	Tihovići_plate.jpg	Tihovići | Tuxobnhn
File:Streets in Mostar 004.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Streets_in_Mostar_004.jpg	
